DPI,	046-101,	046-102,	046-104*,	046-103*,	046-105,	046-106,	046-107,	046-108,
-4,	,	,	,	,	100.4,	,	99.1,	,
-3,	,	,	,	,	,	,	,	,
-2,	,	,	,	,	,	,	,	,
-1,	,	,	,	,	,	,	,	,
0,	100,	101.1,	100.9,	99.6,	101.1,	99.7,	100.1,	98.8,
1,	99.2,	101.6,	100.8,	99,	,	,	102,	100.6,
2,	100.7,	101.3,	101.3,	100.9,	,	101.9,	101.2,	100.7,
3,	100.1,	99.8,	100.6,	100.2,	100.8,	,	,	,
4,	100.3,	101.4,	99.9,	101.2,	100.5,	99.7,	101.9,	99.9,
5,	100.8,	101.4,	100,	98.9,	99.2,	101.4,	100.9,	100,
6,	98.3,	99.7,	99.1,	100.3,	101.2,	101.3,	,	,
7,	99.9,	101,	,	101.4,	,	101.5,	101,	100.3,
8,	97.9,	99.3,	,	100.6,	100.3,	101.1,	100.1,	100.4,
9,	99.1,	100.7,	,	101.1,	100.1,	100.3,	101.7,	100.5,
10,	,	,	101.7,	,	99.9,	102,	101.4,	101.6,
11,	,	,	,	,	,	,	,	,
12,	,	,	,	,	,	,	,	,
13,	,	,	,	,	,	,	,	,
14,	100.2,	101.1,	,	101.5,	99.3,	102.4,	101.8,	99.9,
15,	,	,	,	,	,	,	,	,
16,	,	,	,	,	,	,	,	,
17,	,	,	100.8,	101.1,	98.8,	101,	101.6,	100.1,
18,	,	,	,	,	,	,	,	,
19,	,	,	,	,	,	,	,	,
20,	,	,	,	,	,	,	,	,
21,	101.2,	102.4,	,	,	,	100.5,	100.2,	100.9,
22,	,	,	,	,	,	,	,	,
23,	,	,	,	,	,	,	,	,
24,	101.1,	101.5,	,	,	100.2,	102.7,	,	99.9,
25,	,	,	,	,	,	,	,	,
26,	,	,	,	,	,	,	,	,
27,	,	,	,	,	,	,	,	,
28,	99.6,	101.1,	,	,	,	101.6,	,	,
29,	,	,	,	,	,	,	,	,
30,	,	,	,	,	,	,	,	100.3,
31,	,	,	,	,	97.9,	101.4,	,	,
32,	,	,	,	,	,	,	,	,
33,	,	,	,	,	,	,	,	,
34,	,	,	,	,	,	,	,	,
35,	100.1,	,	,	,	,	101.6,	,	,
36,	,	,	,	,	,	,	,	,
37,	,	,	,	,	,	,	,	100.5,
38,	99.3,	101.9,	,	,	99.7,	102,	,	,
39,	,	,	,	,	,	,	,	,
40,	,	,	,	,	,	,	,	,
41,	,	,	,	,	,	,	,	,
42,	,	,	,	,	,	,	,	,
43,	,	,	,	,	,	,	,	,
44,	,	,	,	,	,	,	,	,
45,	98.3,	100.6,	,	,	,	,	,	100.2,
46,	,	,	,	,	,	,	,	,
47,	,	,	,	,	,	,	,	,
48,	,	,	,	,	,	,	,	,
49,	,	,	,	,	,	,	,	,
50,	,	,	,	,	,	,	,	,
51,	,	,	,	,	,	,	,	,
52,	,	,	,	,	99.9,	100.1,	,	99,
53,	,	,	,	,	,	,	,	,
54,	,	,	,	,	,	,	,	,
55,	,	,	,	,	,	,	,	,
56,	,	,	,	,	,	100.9,	,	,
57,	,	,	,	,	,	,	,	,
58,	,	,	,	,	,	,	,	,
59,	,	,	,	,	,	99.8,	,	98.3,
60,	,	,	,	,	,	,	,	,
61,	,	,	,	,	,	,	,	,
62,	,	,	,	,	,	,	,	,
63,	,	,	,	,	,	,	,	,
64,	,	,	,	,	,	,	,	,
65,	,	,	,	,	,	101,	,	,
66,	,	,	,	,	,	,	,	,
67,	,	,	,	,	,	,	,	,
68,	,	,	,	,	,	,	,	,
69,	,	,	,	,	,	,	,	,
70,	,	,	,	,	,	,	,	,
71,	,	,	,	,	,	,	,	,
72,	,	,	,	,	,	,	,	,
73,	,	,	,	,	,	100.4,	,	,
74,	,	,	,	,	,	,	,	,
75,	,	,	,	,	,	,	,	,
76,	,	,	,	,	,	,	,	,
77,	,	,	,	,	,	,	,	,
78,	,	,	,	,	,	,	,	,
79,	,	,	,	,	,	,	,	,
80,	,	,	,	,	,	100.9,	,	,
81,	,	,	,	,	,	,	,	,
82,	,	,	,	,	,	,	,	,
83,	,	,	,	,	,	,	,	,
84,	,	,	,	,	,	,	,	,
85,	,	,	,	,	,	,	,	,
86,	,	,	,	,	,	,	,	,
87,	,	,	,	,	,	100.9,	,	,
88,	,	,	,	,	,	,	,	,
89,	,	,	,	,	,	,	,	,
90,	,	,	,	,	,	,	,	,
91,	,	,	,	,	,	,	,	,
92,	,	,	,	,	,	,	,	,
93,	,	,	,	,	,	100.8,	,	,
94,	,	,	,	,	,	,	,	,
95,	,	,	,	,	,	,	,	,
96,	,	,	,	,	,	,	,	,
97,	,	,	,	,	,	,	,	,
98,	,	,	,	,	,	,	,	,
99,	,	,	,	,	,	,	,	,
100,	,	,	,	,	,	100.1,	,	,
101,	,	,	,	,	,	,	,	,
102,	,	,	,	,	,	,	,	,
103,	,	,	,	,	,	,	,	,
104,	,	,	,	,	,	,	,	,
105,	,	,	,	,	,	,	,	,
106,	,	,	,	,	,	,	,	,
107,	,	,	,	,	,	,	,	,
108,	,	,	,	,	,	99.9,	,	,
109,	,	,	,	,	,	,	,	,
110,	,	,	,	,	,	,	,	,
111,	,	,	,	,	,	,	,	,
112,	99.2,	,	,	,	,	101.1,	,	,
113,	,	,	,	,	,	,	,	,
114,	,	,	,	,	,	,	,	,
115,	,	,	,	,	,	100.7,	,	,
116,	,	,	,	,	,	,	,	,
117,	,	,	,	,	,	,	,	,
118,	,	,	,	,	,	,	,	,
119,	,	,	,	,	,	,	,	,
120,	,	,	,	,	,	,	,	,
